Class,EThree,Position,Utah,Distance,Height,Weight,Score,BYU,LDS,Alumni,Poly
2026,Y,QB,N,2043.27,75,215,92,N,N,N,N
2026,Y,WR,N,599.48,73,180,90,N,N,N,N
2026,Y,TE,Y,240.47,79,240,86,Y,Y,Y,N
2026,Y,CB,N,1549.67,75,180,85,N,N,N,N
2026,Y,WR,Y,74.25,74,185,85,N,Y,Y,Y
2026,Y,QB,N,518.94,74,220,84,Y,Y,N,N
2026,Y,CB,N,576.46,72,180,84,N,N,N,N
2026,Y,LB,N,2986.56,76,215,84,N,N,N,Y
2026,Y,OL,Y,43.33,77,295,83,Y,Y,N,Y
2026,Y,CB,N,562.13,74,170,83,N,N,N,N
2026,Y,CB,N,472.91,73,180,83,N,N,N,N
2026,Y,CB,N,563.69,74,165,83,N,N,N,N
2026,Y,OL,N,559.61,77,295,83,N,N,Y,Y
2026,Y,RB,N,1057.61,73,215,83,N,N,N,N
2026,Y,OL,N,605.41,78,340,82,N,N,N,Y
2026,Y,DL,N,728.27,78,250,81,N,N,N,N
2026,Y,DL,N,1450.88,75,340,81,N,N,Y,Y
2026,Y,DL,N,343.39,74,255,81,N,N,N,N
2026,Y,LB,N,573.27,76,240,81,N,N,Y,Y
2026,Y,OL,N,518.94,78,275,81,N,N,N,N
2026,Y,OL,N,1870.9,78,320,81,N,N,N,N
2026,Y,OL,Y,21.16,77,335,81,N,Y,N,Y
2026,Y,RB,N,1572.44,72,195,81,N,N,N,N
2026,Y,RB,N,341.28,72,170,81,N,N,N,N
2026,N,DL,N,985.9,74,230,80,Y,Y,N,N
2026,N,OL,N,338.97,76,285,80,Y,Y,Y,N
2026,Y,OL,N,2920.08,78,310,80,N,Y,N,N
2026,Y,OL,N,472.91,77,315,80,N,N,N,N
2026,Y,OL,N,374.07,77,270,80,N,Y,N,Y
2026,Y,QB,Y,21.16,73,200,80,N,Y,N,Y
2026,Y,QB,N,484.4,74,205,80,N,Y,N,N
2026,N,DB,N,345.54,74,185,79,Y,N,N,N
2026,N,DL,N,1149.59,75,265,79,N,Y,Y,Y
2026,N,OL,N,479.65,78,265,79,N,N,N,N
2026,N,OL,N,355.28,76,285,79,N,N,N,N
2026,N,RB,N,653.7,69,185,79,N,N,N,N
2026,N,TE,N,896.65,77,220,79,N,Y,N,N
2026,N,WR,N,981.34,71,185,79,N,N,N,N
2026,N,CB,N,542.59,73,175,78,N,N,N,N
2026,N,TE,Y,3.17,75,210,78,Y,Y,Y,Y
2026,N,TE,N,360.92,78,220,78,Y,Y,Y,N
2026,N,WR,Y,14.74,73,165,78,Y,Y,Y,Y
2026,N,CB,N,559.83,74,170,78,N,N,N,N
2026,N,DB,N,1547.4,73,190,78,N,N,N,N
2026,N,DB,N,1549.67,73,185,78,N,N,N,N
2026,N,OL,N,341.28,79,350,78,N,N,N,N
2026,N,OL,N,2995.46,75,290,78,N,N,Y,Y
2026,N,OL,N,479.18,79,280,78,N,N,N,N
2026,N,QB,Y,3.17,77,235,78,N,Y,N,Y
2026,N,TE,N,2920.08,76,225,78,N,N,N,Y
2026,N,LB,Y,30.04,76,205,77,Y,Y,Y,N
2026,N,WR,Y,107.26,71,180,77,Y,Y,Y,N
2026,N,LB,N,581.95,76,215,77,N,N,N,N
2026,N,RB,N,663.33,71,195,77,N,N,N,N
2026,N,TE,N,2986.56,77,250,77,N,Y,N,Y
2026,N,TE,Y,3.17,79,235,77,N,Y,N,N
2026,N,DB,N,595.7,74,185,76,Y,Y,N,Y
2026,N,DL,N,840.42,75,255,76,Y,Y,N,Y
2026,N,DL,Y,3.17,75,250,76,Y,Y,Y,Y
2026,N,RB,Y,14.74,70,180,76,Y,Y,N,N
2026,N,TE,N,950.49,76,215,76,Y,Y,Y,N
2026,N,CB,N,564.39,72,170,76,N,N,N,N
2026,N,CB,N,533,72,165,76,N,N,N,N
2026,N,DB,Y,1.77,73,185,76,N,Y,Y,Y
2026,N,QB,Y,55.47,76,205,76,N,Y,N,N
2026,N,TE,N,910.22,78,220,76,N,N,N,N
2026,N,CB,N,480.93,72,165,75,Y,N,Y,N
2026,N,DB,N,945.76,75,180,75,Y,N,N,N
2026,N,WR,N,663.05,70,165,75,Y,N,N,N
2026,N,CB,N,547.4,73,180,75,N,N,N,N
2026,N,CB,N,434.11,72,140,75,N,N,N,N
2026,N,CB,N,1547.4,72,165,75,N,N,N,N
2026,N,DL,N,1030.14,77,250,75,N,N,N,N
2026,N,OL,N,3040.09,76,250,75,N,N,N,Y
2026,N,LB,N,471.83,75,225,74,N,N,N,Y
